"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 06 15:40:45 GMT 2025","Thu Mar 06 15:40:53 GMT 2025","8081","Страница 'Моё инфо'","myinfo_panel_test","TestMyInfoPanel","","","Смена имени",""
"passed","Thu Mar 06 15:40:54 GMT 2025","Thu Mar 06 15:41:02 GMT 2025","8106","Страница 'Моё инфо'","myinfo_panel_test","TestMyInfoPanel","","","Смена фамилии",""
"passed","Sat Feb 22 12:06:31 GMT 2025","Sat Feb 22 12:06:41 GMT 2025","10528","tests","myinfo_panel_test","TestAdminPanel","","","Change profile name",""
"passed","Thu Mar 06 15:41:03 GMT 2025","Thu Mar 06 15:41:11 GMT 2025","8155","Страница 'Моё инфо'","myinfo_panel_test","TestMyInfoPanel","","","Смена отчества",""
"broken","Thu Mar 06 15:41:21 GMT 2025","Thu Mar 06 15:41:27 GMT 2025","5887","Страница 'Pim'","pim_panel_test","TestPimPanel","","","проверка ввода имени",""
"passed","Thu Mar 06 15:40:23 GMT 2025","Thu Mar 06 15:40:29 GMT 2025","6073","Страница 'Админ'","admin_panel_test","TestAdminPanel","","","Смена по роле",""
"broken","Thu Mar 06 15:40:30 GMT 2025","Thu Mar 06 15:40:45 GMT 2025","14879","Страница 'Админ'","admin_panel_test","TestAdminPanel","","","Поиск по статусу",""
"passed","Thu Mar 06 15:41:28 GMT 2025","Thu Mar 06 15:41:33 GMT 2025","5141","Страница 'Pim'","pim_panel_test","TestPimPanel","","","проверка ввода не только имени ",""
"passed","Thu Mar 06 15:41:12 GMT 2025","Thu Mar 06 15:41:20 GMT 2025","8245","Страница 'Моё инфо'","myinfo_panel_test","TestMyInfoPanel","","","Смена обязательных полей",""
"passed","Thu Mar 06 15:40:16 GMT 2025","Thu Mar 06 15:40:22 GMT 2025","6125","Страница 'Админ'","admin_panel_test","TestAdminPanel","","","Поиск по никнейму",""
